ts_code,display_name,tushare_name,fullname,market,publisher,index_type,category,list_date,exp_date,observation_start_date,first_data_trade_date_all,continuity_start_floor,first_data_trade_date_for_continuity,last_data_trade_date,as_of_trade_date,observed_trade_days,expected_trade_days,missing_trade_days,first_missing_trade_date,last_missing_trade_date
000027.SH,180运输,180运输,上证180交通运输指数,SSE,中证指数有限公司,,主题指数,2008-12-15,,2000-01-01,2005-01-04,2008-12-15,2008-12-15,2026-05-22,2026-05-22,4233,4233,0,,
000028.SH,180成长,180成长,上证180成长指数,SSE,中证指数有限公司,,风格指数,2009-01-09,,2000-01-01,2009-01-09,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000029.SH,180价值,180价值,上证180价值指数,SSE,中证指数有限公司,,风格指数,2009-01-09,,2000-01-01,2009-01-09,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000030.SH,180R成长,180R成长,上证180相对成长指数,SSE,中证指数有限公司,,风格指数,2009-01-09,,2000-01-01,2009-01-09,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000031.SH,180R价值,180R价值,上证180相对价值指数,SSE,中证指数有限公司,,风格指数,2009-01-09,,2000-01-01,2009-01-09,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000032.SH,上证能源,上证能源,上证能源行业指数,SSE,中证指数有限公司,,一级行业指数,2009-01-09,,2000-01-01,2009-01-09,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000033.SH,上证材料,上证材料,上证原材料行业指数,SSE,中证指数有限公司,,一级行业指数,2009-01-09,,2000-01-01,2009-01-09,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000034.SH,上证工业,上证工业,上证工业行业指数,SSE,中证指数有限公司,,一级行业指数,2009-01-09,,2000-01-01,2009-01-09,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000035.SH,上证可选,上证可选,上证可选消费行业指数,SSE,中证指数有限公司,,一级行业指数,2009-01-09,,2000-01-01,2009-01-09,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000036.SH,上证消费,上证消费,上证主要消费行业指数,SSE,中证指数有限公司,,一级行业指数,2009-01-09,,2000-01-01,2009-01-09,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000037.SH,上证医药,上证医药,上证医药卫生行业指数,SSE,中证指数有限公司,,一级行业指数,2009-01-09,,2000-01-01,2009-01-09,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000038.SH,上证金融,上证金融,上证金融地产行业指数,SSE,中证指数有限公司,,主题指数,2009-01-09,,2000-01-01,2005-01-04,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000039.SH,上证信息,上证信息,上证信息技术行业指数,SSE,中证指数有限公司,,一级行业指数,2009-01-09,,2000-01-01,2009-01-09,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000040.SH,上证通信,上证通信,上证通信服务行业指数,SSE,中证指数有限公司,,一级行业指数,2009-01-09,,2000-01-01,2009-01-09,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000041.SH,上证公用,上证公用,上证公用事业行业指数,SSE,中证指数有限公司,,一级行业指数,2009-01-09,,2000-01-01,2009-01-09,2009-01-09,2009-01-09,2026-05-22,2026-05-22,4216,4216,0,,
000042.SH,上证央企,上证央企,上证中央企业50指数,SSE,中证指数有限公司,,主题指数,2009-03-30,,2000-01-01,2009-01-05,2009-03-30,2009-03-30,2026-05-22,2026-05-22,4165,4165,0,,
000926.CSI,中证央企,中证央企,中证中央企业综合指数,CSI,中证指数有限公司,,主题指数,2009-03-30,,2000-01-01,2009-01-05,2009-03-30,2009-03-30,2026-05-22,2026-05-22,4165,4165,0,,
000926.SH,中证央企(SH),中证央企(SH),中证中央企业综合指数,SSE,中证指数有限公司,,主题指数,2009-03-30,,2000-01-01,2009-01-05,2009-03-30,2009-03-30,2026-05-22,2026-05-22,4165,4165,0,,
000927.CSI,央企100,央企100,中证中央企业100指数,CSI,中证指数有限公司,,主题指数,2009-03-30,,2000-01-01,2009-01-05,2009-03-30,2009-03-30,2026-05-22,2026-05-22,4165,4165,0,,
000927.SH,央企100(SH),央企100(SH),中证中央企业100指数,SSE,中证指数有限公司,,主题指数,2009-03-30,,2000-01-01,2009-01-05,2009-03-30,2009-03-30,2026-05-22,2026-05-22,4165,4165,0,,
000043.SH,超大盘,超大盘,上证超级大盘指数,SSE,中证指数有限公司,,规模指数,2009-04-23,,2000-01-01,2005-01-04,2009-04-23,2009-04-23,2026-05-22,2026-05-22,4148,4148,0,,
000044.SH,上证中盘,上证中盘,上证中盘指数,SSE,中证指数有限公司,,规模指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000045.SH,上证小盘,上证小盘,上证小盘指数,SSE,中证指数有限公司,,规模指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
