probe_scope,request_idx_type,ts_code,trade_date,close,open,high,low,change,pct_change,vol,amount,swing,turnover_rate,category
explicit_idx_type,行业板块,BK1200.DC,20250102,4106.04,4194.39,4228.62,4067.55,-96.67,-2.3,68732676.0,94254515986.0,3.83,2.31,行业板块
explicit_idx_type,行业板块,BK1201.DC,20250102,6779.65,6968.9,7014.28,6703.48,-206.65,-2.96,104296663.0,208623053781.0,4.45,2.97,行业板块
explicit_idx_type,行业板块,BK1202.DC,20250102,1799.06,1818.28,1851.28,1786.51,-16.99,-0.94,40000133.0,18149137635.0,3.57,1.95,行业板块
explicit_idx_type,行业板块,BK1203.DC,20250102,2334.48,2434.73,2434.73,2312.86,-109.77,-4.49,64771232.0,81895164614.0,4.99,1.55,行业板块
explicit_idx_type,行业板块,BK1204.DC,20250102,4057.88,4210.05,4210.05,4021.72,-163.0,-3.86,19071937.0,37749762084.0,4.46,1.97,行业板块
explicit_idx_type,行业板块,BK1205.DC,20250102,2925.65,2972.08,3018.58,2898.27,-53.46,-1.79,87629537.0,99213512720.0,4.04,2.79,行业板块
explicit_idx_type,行业板块,BK1206.DC,20250102,2453.88,2493.25,2523.29,2433.71,-39.87,-1.6,51850508.0,51235161476.0,3.59,1.78,行业板块
explicit_idx_type,行业板块,BK1207.DC,20250102,6374.2,6546.87,6602.92,6302.06,-196.66,-2.99,73464162.0,137019370351.0,4.58,3.67,行业板块
explicit_idx_type,行业板块,BK1208.DC,20250102,2668.26,2707.78,2742.7,2648.09,-41.71,-1.54,11283118.0,9117108698.0,3.49,1.45,行业板块
explicit_idx_type,行业板块,BK1209.DC,20250102,2243.21,2287.01,2312.31,2226.34,-50.79,-2.21,44412792.0,26584134907.0,3.75,1.57,行业板块
explicit_idx_type,行业板块,BK1210.DC,20250102,2193.72,2243.81,2260.49,2178.69,-53.76,-2.39,44980455.0,30045198927.0,3.64,1.0,行业板块
explicit_idx_type,行业板块,BK1211.DC,20250102,3086.22,3138.85,3182.65,3059.57,-56.36,-1.79,48793677.0,67595499394.0,3.92,2.11,行业板块
explicit_idx_type,行业板块,BK1212.DC,20250102,2567.26,2566.03,2628.69,2545.55,-3.8,-0.15,24137651.0,18811029036.0,3.23,2.69,行业板块
explicit_idx_type,行业板块,BK1213.DC,20250102,2184.7,2115.96,2226.65,2115.96,64.17,3.03,71499882.0,51683560475.0,5.22,5.43,行业板块
explicit_idx_type,行业板块,BK1214.DC,20250102,3960.24,3976.22,4064.95,3927.83,-10.06,-0.25,16313457.0,15233831663.0,3.45,3.41,行业板块
explicit_idx_type,行业板块,BK1215.DC,20250102,4578.86,4668.04,4731.83,4527.5,-98.34,-2.1,42394109.0,81882257230.0,4.37,2.37,行业板块
explicit_idx_type,行业板块,BK1216.DC,20250102,3637.92,3706.88,3734.35,3612.89,-68.97,-1.86,50222118.0,66007433462.0,3.28,1.64,行业板块
explicit_idx_type,行业板块,BK1217.DC,20250102,9633.68,9755.91,9909.63,9555.11,-131.9,-1.35,4522778.0,4459066430.0,3.63,2.31,行业板块
explicit_idx_type,行业板块,BK1218.DC,20250102,1910.01,1912.25,1958.98,1893.17,-2.86,-0.15,5854096.0,4972528528.0,3.44,2.13,行业板块
explicit_idx_type,行业板块,BK1219.DC,20250102,1111.6,1133.27,1148.48,1101.64,-22.77,-2.01,6142577.0,2668154742.0,4.13,2.94,行业板块
explicit_idx_type,行业板块,BK1220.DC,20250102,4384.17,4387.16,4504.52,4342.17,-14.68,-0.33,14476178.0,12533791737.0,3.69,4.03,行业板块
explicit_idx_type,行业板块,BK1221.DC,20250102,5769.83,5796.66,5947.58,5713.69,-32.68,-0.56,3510927.0,8255073269.0,4.03,4.57,行业板块
explicit_idx_type,行业板块,BK1222.DC,20250102,3305.06,3358.79,3407.58,3270.39,-34.23,-1.03,7282091.0,5547783042.0,4.11,3.65,行业板块
explicit_idx_type,行业板块,BK1223.DC,20250102,8015.43,8168.66,8260.87,7927.95,-163.49,-2.0,7466472.0,13617071712.0,4.07,5.72,行业板块
explicit_idx_type,行业板块,BK1224.DC,20250102,1870.39,1882.58,1925.62,1856.13,-11.21,-0.6,4036358.0,2303830013.0,3.69,2.13,行业板块
explicit_idx_type,行业板块,BK1225.DC,20250102,1833.82,1812.81,1886.93,1812.81,15.88,0.87,14863705.0,10177506918.0,4.08,3.67,行业板块
explicit_idx_type,行业板块,BK1226.DC,20250102,732.48,747.72,751.02,727.79,-14.78,-1.98,17118762.0,4722683053.0,3.11,1.11,行业板块
explicit_idx_type,行业板块,BK1227.DC,20250102,1638.49,1672.79,1684.17,1627.5,-26.42,-1.59,2455212.0,1707230962.0,3.4,1.05,行业板块
explicit_idx_type,行业板块,BK1228.DC,20250102,2394.47,2438.3,2456.43,2371.19,-48.0,-1.97,1885250.0,963809828.0,3.49,0.94,行业板块
explicit_idx_type,行业板块,BK1229.DC,20250102,2211.28,2295.1,2301.19,2190.89,-85.33,-3.72,1591014.0,1648288355.0,4.8,1.79,行业板块
explicit_idx_type,行业板块,BK1230.DC,20250102,3154.84,3264.34,3264.34,3131.86,-124.45,-3.8,1731411.0,3310534746.0,4.04,1.31,行业板块
explicit_idx_type,行业板块,BK1231.DC,20250102,3551.46,3699.64,3699.64,3521.29,-166.22,-4.47,6640326.0,15669745406.0,4.8,1.88,行业板块
explicit_idx_type,行业板块,BK1232.DC,20250102,2759.37,2846.78,2859.52,2737.82,-88.58,-3.11,1065379.0,1786127328.0,4.27,1.11,行业板块
explicit_idx_type,行业板块,BK1233.DC,20250102,4709.15,4876.13,4890.35,4663.85,-172.67,-3.54,8043806.0,15335066249.0,4.64,2.7,行业板块
explicit_idx_type,行业板块,BK1234.DC,20250102,2220.27,2254.58,2295.72,2203.14,-43.84,-1.94,2266797.0,2007636688.0,4.09,1.96,行业板块
explicit_idx_type,行业板块,BK1235.DC,20250102,1792.81,1820.52,1850.68,1780.01,-29.29,-1.61,16090346.0,10605544281.0,3.88,1.99,行业板块
explicit_idx_type,行业板块,BK1236.DC,20250102,1398.16,1429.75,1441.32,1386.27,-30.85,-2.16,6031843.0,4510706565.0,3.85,1.16,行业板块
explicit_idx_type,行业板块,BK1237.DC,20250102,6362.71,6469.49,6595.89,6303.11,-116.6,-1.8,10493463.0,22513104859.0,4.52,3.58,行业板块
explicit_idx_type,行业板块,BK1238.DC,20250102,6120.77,6262.99,6340.77,6051.77,-167.15,-2.66,32966223.0,47315786796.0,4.6,4.05,行业板块
explicit_idx_type,行业板块,BK1239.DC,20250102,3724.35,3740.72,3833.16,3693.41,-2.85,-0.08,3096524.0,10925195688.0,3.75,1.2,行业板块
explicit_idx_type,行业板块,BK1240.DC,20250102,6053.43,6038.14,6247.97,6002.87,15.76,0.26,1400807.0,1742620914.0,4.06,2.94,行业板块
explicit_idx_type,行业板块,BK1241.DC,20250102,3517.74,3620.51,3646.1,3479.64,-131.71,-3.61,6834649.0,6879145854.0,4.56,4.88,行业板块
explicit_idx_type,行业板块,BK1242.DC,20250102,3302.75,3349.72,3407.1,3274.71,-55.11,-1.64,6308114.0,6431704456.0,3.94,3.75,行业板块
explicit_idx_type,行业板块,BK1243.DC,20250102,1027.51,1029.83,1061.32,1017.55,-0.19,-0.02,365123.0,208181762.0,4.26,2.53,行业板块
explicit_idx_type,行业板块,BK1244.DC,20250102,2083.73,2070.23,2133.63,2061.69,14.88,0.72,1807849.0,3830531557.0,3.48,1.91,行业板块
explicit_idx_type,行业板块,BK1245.DC,20250102,1909.68,1930.61,1966.36,1891.43,-22.86,-1.18,3386716.0,1333733777.0,3.88,4.1,行业板块
explicit_idx_type,行业板块,BK1246.DC,20250102,2213.15,2290.16,2299.19,2201.85,-79.49,-3.47,6268694.0,4125726623.0,4.25,1.05,行业板块
explicit_idx_type,行业板块,BK1247.DC,20250102,1716.03,1745.93,1769.4,1705.26,-31.57,-1.81,22184880.0,10843643064.0,3.67,1.63,行业板块
explicit_idx_type,行业板块,BK1248.DC,20250102,2573.52,2623.99,2647.71,2555.17,-56.83,-2.16,8423221.0,5558496683.0,3.52,1.55,行业板块
explicit_idx_type,行业板块,BK1249.DC,20250102,708.54,739.91,739.91,703.89,-31.05,-4.2,3988086.0,1300551974.0,4.87,2.73,行业板块
explicit_idx_type,行业板块,BK1250.DC,20250102,1449.62,1488.84,1494.47,1442.73,-39.97,-2.68,17815153.0,9333117776.0,3.47,1.98,行业板块
explicit_idx_type,行业板块,BK1251.DC,20250102,537.46,537.45,554.47,533.76,-0.87,-0.16,815748.0,1268765188.0,3.85,1.98,行业板块
