group_id,row_index,probe_scope,request_idx_type,ts_code,trade_date,close,open,high,low,change,pct_change,vol,amount,swing,turnover_rate,category
explicit_idx_type-000031,2,explicit_idx_type,概念板块,BK0429.DC,20250120,8817.39,8776.78,8854.01,8744.16,90.46,1.04,4881172.0,5962117004.0,1.26,0.87,概念板块
explicit_idx_type-000032,1,explicit_idx_type,行业板块,BK0429.DC,20250121,8819.28,8850.09,8863.29,8724.49,1.89,0.02,5065203.0,6072158341.0,1.57,0.91,行业板块
explicit_idx_type-000032,2,explicit_idx_type,概念板块,BK0429.DC,20250121,8819.28,8850.09,8863.29,8724.49,1.89,0.02,5065203.0,6072158341.0,1.57,0.9,概念板块
explicit_idx_type-000033,1,explicit_idx_type,行业板块,BK0429.DC,20250122,8764.45,8828.73,8828.73,8723.28,-54.83,-0.62,4700824.0,5988509724.0,1.2,0.84,行业板块
explicit_idx_type-000033,2,explicit_idx_type,概念板块,BK0429.DC,20250122,8764.45,8828.73,8828.73,8723.28,-54.83,-0.62,4700823.0,5988509724.0,1.2,0.84,概念板块
explicit_idx_type-000034,1,explicit_idx_type,行业板块,BK0429.DC,20250123,8775.66,8838.35,8949.95,8770.36,11.21,0.13,5958386.0,7467852941.0,2.05,1.07,行业板块
explicit_idx_type-000034,2,explicit_idx_type,概念板块,BK0429.DC,20250123,8775.66,8838.35,8949.95,8770.36,11.21,0.13,5958385.0,7467852941.0,2.05,1.06,概念板块
explicit_idx_type-000035,1,explicit_idx_type,行业板块,BK0429.DC,20250124,8877.97,8770.51,8877.97,8713.95,102.31,1.17,4766025.0,5760570644.0,1.87,0.86,行业板块
explicit_idx_type-000035,2,explicit_idx_type,概念板块,BK0429.DC,20250124,8877.97,8770.51,8877.97,8713.95,102.31,1.17,4766024.0,5760570644.0,1.87,0.85,概念板块
explicit_idx_type-000036,1,explicit_idx_type,行业板块,BK0429.DC,20250127,8786.12,8902.69,8945.29,8786.12,-91.85,-1.03,4308898.0,5435496087.0,1.79,0.77,行业板块
explicit_idx_type-000036,2,explicit_idx_type,概念板块,BK0429.DC,20250127,8786.12,8902.69,8945.29,8786.12,-91.85,-1.03,4308898.0,5435496087.0,1.79,0.77,概念板块
explicit_idx_type-000037,1,explicit_idx_type,行业板块,BK0447.DC,20250102,22192.58,22581.69,22936.98,21951.45,-450.02,-1.99,58029775.0,82529677259.0,4.35,5.62,行业板块
explicit_idx_type-000037,2,explicit_idx_type,概念板块,BK0447.DC,20250102,22192.58,22581.69,22936.98,21951.45,-450.02,-1.99,58029774.0,82529677259.0,4.35,5.59,概念板块
explicit_idx_type-000038,1,explicit_idx_type,行业板块,BK0447.DC,20250103,20843.52,22188.51,22264.27,20804.93,-1349.06,-6.08,54901928.0,68643080404.0,6.58,5.32,行业板块
explicit_idx_type-000038,2,explicit_idx_type,概念板块,BK0447.DC,20250103,20843.52,22188.51,22264.27,20804.93,-1349.06,-6.08,54901928.0,68643080404.0,6.58,5.29,概念板块
explicit_idx_type-000039,1,explicit_idx_type,行业板块,BK0447.DC,20250106,20417.68,20710.76,20866.11,20217.55,-425.84,-2.04,41018102.0,49840396218.0,3.11,3.97,行业板块
explicit_idx_type-000039,2,explicit_idx_type,概念板块,BK0447.DC,20250106,20417.68,20710.76,20866.11,20217.55,-425.84,-2.04,41018102.0,49840396218.0,3.11,3.95,概念板块
explicit_idx_type-000040,1,explicit_idx_type,行业板块,BK0447.DC,20250107,21156.94,20512.82,21157.91,20512.82,739.26,3.62,48474300.0,53720082213.0,3.16,4.69,行业板块
explicit_idx_type-000040,2,explicit_idx_type,概念板块,BK0447.DC,20250107,21156.94,20512.82,21157.91,20512.82,739.26,3.62,48474300.0,53720082213.0,3.16,4.67,概念板块
explicit_idx_type-000041,1,explicit_idx_type,行业板块,BK0447.DC,20250108,21254.23,21071.42,21427.09,20489.25,97.29,0.46,66645355.0,70087824446.0,4.43,6.45,行业板块
explicit_idx_type-000041,2,explicit_idx_type,概念板块,BK0447.DC,20250108,21254.23,21071.42,21427.09,20489.25,97.29,0.46,66645355.0,70087824446.0,4.43,6.42,概念板块
explicit_idx_type-000042,1,explicit_idx_type,行业板块,BK0447.DC,20250109,21509.01,21118.25,21691.97,21113.46,254.78,1.2,62866377.0,63430322602.0,2.72,6.09,行业板块
explicit_idx_type-000042,2,explicit_idx_type,概念板块,BK0447.DC,20250109,21509.01,21118.25,21691.97,21113.46,254.78,1.2,62866377.0,63430322602.0,2.72,6.05,概念板块
explicit_idx_type-000043,1,explicit_idx_type,行业板块,BK0447.DC,20250110,20671.09,21406.14,21645.96,20671.09,-837.92,-3.9,64812907.0,61650170431.0,4.53,6.28,行业板块
explicit_idx_type-000043,2,explicit_idx_type,概念板块,BK0447.DC,20250110,20671.09,21406.14,21645.96,20671.09,-837.92,-3.9,64812907.0,61650170431.0,4.53,6.24,概念板块
explicit_idx_type-000044,1,explicit_idx_type,行业板块,BK0447.DC,20250113,20704.9,20398.43,20856.06,20018.3,33.81,0.16,49680908.0,48032925261.0,4.05,4.81,行业板块
explicit_idx_type-000044,2,explicit_idx_type,概念板块,BK0447.DC,20250113,20704.9,20398.43,20856.06,20018.3,33.81,0.16,49680908.0,48032925261.0,4.05,4.78,概念板块
explicit_idx_type-000045,1,explicit_idx_type,行业板块,BK0447.DC,20250114,22066.44,20940.45,22066.44,20940.45,1361.54,6.58,63659280.0,78281435620.0,5.44,6.16,行业板块
explicit_idx_type-000045,2,explicit_idx_type,概念板块,BK0447.DC,20250114,22066.44,20940.45,22066.44,20940.45,1361.54,6.58,63659279.0,78281435620.0,5.44,6.13,概念板块
explicit_idx_type-000046,1,explicit_idx_type,行业板块,BK0447.DC,20250115,22130.43,22214.87,22398.1,22051.81,63.99,0.29,52596719.0,64625370475.0,1.57,5.09,行业板块
explicit_idx_type-000046,2,explicit_idx_type,概念板块,BK0447.DC,20250115,22130.43,22214.87,22398.1,22051.81,63.99,0.29,52596718.0,64625370475.0,1.57,5.06,概念板块
explicit_idx_type-000047,1,explicit_idx_type,行业板块,BK0447.DC,20250116,22374.15,22362.11,22811.55,22122.31,243.72,1.1,76574713.0,79101564397.0,3.11,7.41,行业板块
explicit_idx_type-000047,2,explicit_idx_type,概念板块,BK0447.DC,20250116,22374.15,22362.11,22811.55,22122.31,243.72,1.1,76574712.0,79101564397.0,3.11,7.37,概念板块
explicit_idx_type-000048,1,explicit_idx_type,行业板块,BK0447.DC,20250117,22187.88,22277.95,22429.93,22080.35,-186.27,-0.83,57682515.0,62136086478.0,1.56,5.58,行业板块
explicit_idx_type-000048,2,explicit_idx_type,概念板块,BK0447.DC,20250117,22187.88,22277.95,22429.93,22080.35,-186.27,-0.83,57682515.0,62136086478.0,1.56,5.55,概念板块
explicit_idx_type-000049,1,explicit_idx_type,行业板块,BK0447.DC,20250120,22255.56,22345.0,22457.29,22036.1,67.68,0.31,50106762.0,58158117980.0,1.9,4.85,行业板块
explicit_idx_type-000049,2,explicit_idx_type,概念板块,BK0447.DC,20250120,22255.56,22345.0,22457.29,22036.1,67.68,0.31,50106762.0,58158117980.0,1.9,4.82,概念板块
explicit_idx_type-000050,1,explicit_idx_type,行业板块,BK0447.DC,20250121,22273.77,22360.91,22420.55,21910.27,18.21,0.08,51222662.0,61517969997.0,2.29,4.96,行业板块
explicit_idx_type-000050,2,explicit_idx_type,概念板块,BK0447.DC,20250121,22273.77,22360.91,22420.55,21910.27,18.21,0.08,51222661.0,61517969997.0,2.29,4.93,概念板块
explicit_idx_type-000051,1,explicit_idx_type,行业板块,BK0447.DC,20250122,22041.8,22065.53,22138.43,21933.58,-231.97,-1.04,50812933.0,59187071889.0,0.92,4.92,行业板块
explicit_idx_type-000051,2,explicit_idx_type,概念板块,BK0447.DC,20250122,22041.8,22065.53,22138.43,21933.58,-231.97,-1.04,50812933.0,59187071889.0,0.92,4.89,概念板块
explicit_idx_type-000052,1,explicit_idx_type,行业板块,BK0447.DC,20250123,22115.64,22347.54,22843.4,22115.64,73.84,0.34,66894050.0,89092407771.0,3.3,6.48,行业板块
explicit_idx_type-000052,2,explicit_idx_type,概念板块,BK0447.DC,20250123,22115.64,22347.54,22843.4,22115.64,73.84,0.34,66894050.0,89092407771.0,3.3,6.44,概念板块
explicit_idx_type-000053,1,explicit_idx_type,行业板块,BK0447.DC,20250124,23027.69,22092.12,23029.55,22084.07,912.05,4.12,65238530.0,89720762726.0,4.28,6.32,行业板块
explicit_idx_type-000053,2,explicit_idx_type,概念板块,BK0447.DC,20250124,23027.69,22092.12,23029.55,22084.07,912.05,4.12,65238529.0,89720762726.0,4.28,6.28,概念板块
explicit_idx_type-000054,1,explicit_idx_type,行业板块,BK0447.DC,20250127,22864.97,23455.6,23542.8,22828.41,-162.72,-0.71,62468094.0,87655201232.0,3.1,6.05,行业板块
explicit_idx_type-000054,2,explicit_idx_type,概念板块,BK0447.DC,20250127,22864.97,23455.6,23542.8,22828.41,-162.72,-0.71,62468094.0,87655201232.0,3.1,6.01,概念板块
explicit_idx_type-000055,1,explicit_idx_type,行业板块,BK0470.DC,20250102,8666.16,8696.57,8894.82,8595.78,-59.39,-0.68,10476858.0,6802137724.0,3.43,3.33,行业板块
explicit_idx_type-000055,2,explicit_idx_type,概念板块,BK0470.DC,20250102,8666.16,8696.57,8894.82,8595.78,-59.39,-0.68,10476857.0,6802137724.0,3.43,3.32,概念板块
explicit_idx_type-000056,1,explicit_idx_type,行业板块,BK0470.DC,20250103,8303.33,8671.68,8694.49,8283.64,-362.83,-4.19,10431644.0,6831547541.0,4.74,3.32,行业板块
explicit_idx_type-000056,2,explicit_idx_type,概念板块,BK0470.DC,20250103,8303.33,8671.68,8694.49,8283.64,-362.83,-4.19,10431643.0,6831547541.0,4.74,3.31,概念板块
explicit_idx_type-000057,1,explicit_idx_type,行业板块,BK0470.DC,20250106,8178.49,8264.64,8325.75,8047.24,-124.84,-1.5,7992873.0,5326872416.0,3.35,2.54,行业板块
explicit_idx_type-000057,2,explicit_idx_type,概念板块,BK0470.DC,20250106,8178.49,8264.64,8325.75,8047.24,-124.84,-1.5,7992872.0,5326872416.0,3.35,2.53,概念板块
