trade_date,ts_code,status,row_count_probe,sample_con_code,sample_con_name,error_message
20260618,530580.SH,hit,1,600000.SH,浦发银行,
20260618,530680.SH,hit,1,600000.SH,浦发银行,
20260618,530800.SH,hit,1,600000.SH,浦发银行,
20260618,530880.SH,hit,1,600015.SH,华夏银行,
20260618,551000.SH,hit,1,115208.SH,23创投K1,
20260618,551030.SH,hit,1,115177.SH,23亦庄01,
20260618,551060.SH,hit,1,115266.SH,23联和K2,
20260618,551300.SH,hit,1,115323.SH,23北控K1,
20260618,551500.SH,hit,1,115208.SH,23创投K1,
20260618,551510.SH,hit,1,115177.SH,23亦庄01,
20260618,551520.SH,hit,1,115177.SH,23亦庄01,
20260618,551550.SH,hit,1,115177.SH,23亦庄01,
20260618,551560.SH,hit,1,115177.SH,23亦庄01,
20260618,551580.SH,hit,1,115177.SH,23亦庄01,
20260618,551800.SH,hit,1,115913.SH,23疏浚K2,
20260618,551900.SH,hit,1,115266.SH,23联和K2,
20260618,560010.SH,hit,1,000012.SZ,南  玻A,
20260618,560020.SH,hit,1,000090.SZ,天健集团,
20260618,560050.SH,hit,1,000001.SZ,平安银行,
20260618,560060.SH,hit,1,000027.SZ,深圳能源,
20260618,560070.SH,hit,1,000026.SZ,飞亚达,
20260618,560080.SH,hit,1,000423.SZ,东阿阿胶,
20260618,560090.SH,hit,1,000166.SZ,申万宏源,
20260618,560100.SH,hit,1,000021.SZ,深科技,
20260618,560110.SH,hit,1,000012.SZ,南  玻A,
20260618,560120.SH,hit,1,000039.SZ,中集集团,
20260618,560130.SH,hit,1,000505.SZ,京粮控股,
20260618,560150.SH,hit,1,000001.SZ,平安银行,
20260618,560160.SH,hit,1,000505.SZ,京粮控股,
20260618,560170.SH,hit,1,000021.SZ,深科技,
20260618,560180.SH,hit,1,000001.SZ,平安银行,
20260618,560190.SH,hit,1,000027.SZ,深圳能源,
20260618,560210.SH,hit,1,000048.SZ,京基智农,
20260618,560220.SH,hit,1,000011.SZ,深物业A,
20260618,560230.SH,hit,1,000591.SZ,太阳能,
20260618,560250.SH,hit,1,000423.SZ,东阿阿胶,
20260618,560260.SH,hit,1,002044.SZ,美年健康,
20260618,560270.SH,hit,1,000027.SZ,深圳能源,
20260618,560280.SH,hit,1,000157.SZ,中联重科,
20260618,560290.SH,hit,1,000426.SZ,兴业银锡,
20260618,560300.SH,hit,1,000063.SZ,中兴通讯,
20260618,560310.SH,hit,1,000591.SZ,太阳能,
20260618,560320.SH,hit,1,000505.SZ,京粮控股,
20260618,560330.SH,hit,1,000001.SZ,平安银行,
20260618,560350.SH,hit,1,000333.SZ,美的集团,
20260618,560360.SH,hit,1,002065.SZ,东华软件,
20260618,560370.SH,hit,1,000423.SZ,东阿阿胶,
20260618,560380.SH,hit,1,000002.SZ,万科A,
20260618,560390.SH,hit,1,000400.SZ,许继电气,
20260618,560400.SH,hit,1,000166.SZ,申万宏源,
20260618,560410.SH,hit,1,000009.SZ,中国宝安,
20260618,560420.SH,hit,1,000505.SZ,京粮控股,
