ts_code,name,fullname,market,publisher,index_type,category,base_date,list_date,trade_date
000812.SH,细分机械(SH),中证细分机械设备产业主题指数,SSE,中证指数有限公司,,主题指数,2004-12-31,2012-04-11,2026-05-07
000813.CSI,细分化工,中证细分化工产业主题指数,CSI,中证指数有限公司,,主题指数,2004-12-31,2012-04-11,2026-05-07
000813.SH,细分化工(SH),中证细分化工产业主题指数,SSE,中证指数有限公司,,主题指数,2004-12-31,2012-04-11,2026-05-07
000814.SH,细分医药,中证细分医药产业主题指数,SSE,中证指数有限公司,,主题指数,2004-12-31,2012-04-11,2026-05-07
000815.CSI,细分食品,中证细分食品饮料产业主题指数,CSI,中证指数有限公司,,主题指数,2004-12-31,2012-04-11,2026-05-07
000815.SH,细分食品(SH),中证细分食品饮料产业主题指数,SSE,中证指数有限公司,,主题指数,2004-12-31,2012-04-11,2026-05-07
000816.CSI,细分地产,中证细分房地产产业主题指数,CSI,中证指数有限公司,,主题指数,2004-12-31,2012-04-11,2026-05-07
000818.CSI,细分金融,中证细分金融产业主题指数,CSI,中证指数有限公司,,主题指数,2004-12-31,2012-04-11,2026-05-07
000819.SH,有色金属,中证申万有色金属指数,SSE,中证指数有限公司,,行业指数,2004-12-31,2012-05-09,2026-05-07
000820.CSI,煤炭指数,中证申万煤炭指数,CSI,中证指数有限公司,,行业指数,2004-12-31,2012-05-09,2026-05-07
000820.SH,煤炭指数(SH),中证申万煤炭指数,SSE,中证指数有限公司,,行业指数,2004-12-31,2012-05-09,2026-05-07
000821.CSI,沪深300红利,沪深300红利指数,CSI,中证指数有限公司,,策略指数,2004-12-31,2012-07-20,2026-05-07
000822.CSI,中证500红利,中证500红利指数,CSI,中证指数有限公司,,策略指数,2004-12-31,2012-07-20,2026-05-07
000823.SH,800有色,中证800有色金属指数,SSE,中证指数有限公司,,二级行业指数,2004-12-31,2012-12-21,2026-05-07
000824.CSI,中证国企红利,中证国有企业红利指数,CSI,中证指数有限公司,,策略指数,2009-06-30,2012-07-20,2026-05-07
000824.SH,中证国企红利(SH),中证国有企业红利指数,SSE,中证指数有限公司,,策略指数,2009-06-30,2012-07-20,2026-05-07
000825.CSI,中证央企红利,中证中央企业红利指数,CSI,中证指数有限公司,,策略指数,2008-12-31,2012-07-20,2026-05-07
000825.SH,中证央企红利(SH),中证中央企业红利指数,SSE,中证指数有限公司,,策略指数,2008-12-31,2012-07-20,2026-05-07
000826.CSI,中证民企红利,中证民营企业红利指数,CSI,中证指数有限公司,,策略指数,2009-06-30,2012-07-20,2026-05-07
000827.SH,中证环保,中证环保产业指数,SSE,中证指数有限公司,,主题指数,2011-12-30,2012-09-25,2026-05-07
000828.CSI,沪深300高贝塔,沪深300高贝塔指数,CSI,中证指数有限公司,,策略指数,2004-12-31,2012-08-06,2026-05-07
000829.CSI,沪深300低贝塔,沪深300低贝塔指数,CSI,中证指数有限公司,,策略指数,2004-12-31,2012-08-06,2026-05-07
000830.CSI,中证500高贝塔,中证500高贝塔指数,CSI,中证指数有限公司,,策略指数,2004-12-31,2012-08-06,2026-05-07
000831.CSI,中证500低贝塔,中证500低贝塔指数,CSI,中证指数有限公司,,策略指数,2004-12-31,2012-08-06,2026-05-07
000838.CSI,中证创业价值,中证创业价值指数,CSI,中证指数有限公司,,主题指数,2009-12-31,2012-09-26,2026-05-07
000839.CSI,中证浙企综指,中证浙江企业综合指数,CSI,中证指数有限公司,,主题指数,2004-12-31,2012-11-09,2026-05-07
000840.CSI,中证浙江民企,中证浙江民营企业指数,CSI,中证指数有限公司,,主题指数,2004-12-31,2012-11-09,2026-05-07
000841.CSI,800医药(二级),中证800制药与生物科技指数,CSI,中证指数有限公司,,二级行业指数,2004-12-31,2012-12-21,2026-05-07
000842.CSI,中证800等权,中证800等权重指数,CSI,中证指数有限公司,,策略指数,2004-12-31,2012-12-21,2026-05-07
000843.CSI,沪深300动态,沪深300动态指数,CSI,中证指数有限公司,,策略指数,2004-12-31,2013-01-07,2026-05-07
000844.CSI,沪深300稳定,沪深300稳定指数,CSI,中证指数有限公司,,策略指数,2004-12-31,2013-01-07,2026-05-07
000846.CSI,中证ESG100,中证财通中国可持续发展100(ECPI ESG)指数,CSI,中证指数有限公司,,主题指数,2011-06-30,2012-10-16,2026-05-07
000847.SH,腾讯济安,中证腾讯济安价值100A股指数,SSE,中证指数有限公司,,策略指数,2013-05-18,2013-11-18,2026-05-07
000849.SH,300非银,沪深300非银行金融指数,SSE,中证指数有限公司,,主题指数,2004-12-31,2012-12-21,2026-05-07
000851.SH,百发100,中证百度百发策略100指数,SSE,中证指数有限公司,,策略指数,2008-12-31,2014-07-30,2026-05-07
000852.SH,中证1000,中证1000指数,SSE,中证指数有限公司,,规模指数,2004-12-31,2014-10-17,2026-05-07
000853.SH,CSSW丝路,中证申万一带一路主题投资指数,SSE,中证指数有限公司,,主题指数,2008-12-31,2015-04-23,2026-05-07
000854.SH,中证500原料,中证500原材料指数,SSE,中证指数有限公司,,一级行业指数,2004-12-31,2013-11-06,2026-05-07
000855.SH,央视500,央视财经500指数,SSE,中证指数有限公司,,主题指数,2009-12-31,2014-11-03,2026-05-07
000856.SH,中证500工业,中证500工业指数,SSE,中证指数有限公司,,一级行业指数,2004-12-31,2013-11-06,2026-05-07
000857.SH,中证500医药,中证500医药卫生指数,SSE,中证指数有限公司,,一级行业指数,2004-12-31,2013-11-06,2026-05-07
000858.SH,中证500信息,中证500信息技术指数,SSE,中证指数有限公司,,一级行业指数,2004-12-31,2013-11-06,2026-05-07
000859.CSI,国企一带一路,中证国企一带一路指数,CSI,中证指数有限公司,,主题指数,2013-12-31,2019-05-16,2026-05-07
000860.CSI,结构调整,中证央企结构调整指数,CSI,中证指数有限公司,,主题指数,2014-12-31,2018-03-26,2026-05-07
000861.CSI,央企创新,中证央企创新驱动指数,CSI,中证指数有限公司,,主题指数,2012-12-31,2019-05-16,2026-05-07
000863.SH,CS精准医,中证精准医疗主题指数,SSE,中证指数有限公司,,主题指数,2012-06-29,2015-08-05,2026-05-07
000865.SH,上海国企,中证上海国企指数,SSE,中证指数有限公司,,主题指数,2012-12-31,2016-05-11,2026-05-07
000867.SH,港中小企,中证香港中小企业投资主题指数,SSE,中证指数有限公司,,主题指数,2014-11-14,2015-08-26,2026-05-07
000869.SH,HK银行(HKD),中证香港银行投资指数(港币),SSE,中证指数有限公司,,主题指数,2014-11-14,2016-04-22,2026-05-07
000888.SH,上证收益,上证综合全收益指数,SSE,中证指数有限公司,,综合指数,2020-07-21,2020-10-09,2026-05-07
000891.CSI,新兴综指,中国战略新兴产业综合指数,CSI,中证指数有限公司,,主题指数,2010-12-31,2017-01-25,2026-05-07
000894.CSI,中证A100USD,中证A100美元指数,CSI,中证指数有限公司,,规模指数,2005-12-30,2024-08-09,2026-05-07
000901.SH,小康指数,中证南方小康产业指数,SSE,中证指数有限公司,,主题指数,2005-12-30,2010-04-02,2026-05-07
000902.CSI,中证流通,中证流通指数,CSI,中证指数有限公司,,综合指数,2005-12-30,2006-02-27,2026-05-07
000902.SH,中证流通(SH),中证流通指数,SSE,中证指数有限公司,,综合指数,2005-12-30,2006-02-27,2026-05-07
000903.SH,中证A100,中证A100指数,SSE,中证指数有限公司,,规模指数,2005-12-30,2006-05-29,2026-05-07
000904.CSI,中证200,中证中盘200指数,CSI,中证指数有限公司,,规模指数,2004-12-31,2007-01-15,2026-05-07
