rank_by_30d_vol,ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type,matched_days,first_matched_trade_date,latest_matched_trade_date,vol_30d,amount_30d,avg_vol_30d,latest_close,latest_vol,latest_amount,api_name,fetched_at
913,563510.SH,易方达中证A500红利低波动ETF,A500红利低波ETF易方达,易方达中证A500红利低波动交易型开放式指数证券投资基金,932422.CSI,中证A500红利低波动指数,2025-11-17,2025-12-01,L,SH,易方达基金,中国工商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,2903642.0100,287059.3120,96788.067000000000,0.9820,81300.0000,7950.5800,etf_basic,2026-06-03 21:44:08.972707+08
914,517770.SH,浦银安盛中证沪港深游戏及文化传媒ETF,游戏传媒ETF浦银,浦银安盛中证沪港深游戏及文化传媒交易型开放式指数证券投资基金,931580.CSI,中证沪港深游戏及文化传媒指数,2021-11-25,2021-12-03,L,SH,浦银安盛基金,申万宏源证券有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,2884928.5100,304556.5340,96164.283666666667,0.9740,88662.0000,8667.4450,etf_basic,2026-06-03 21:44:08.972707+08
915,516760.SH,平安中证畜牧养殖ETF,养殖ETF平安,平安中证畜牧养殖交易型开放式指数证券投资基金,930707.CSI,中证畜牧养殖指数,2021-03-04,2021-03-12,L,SH,平安基金,招商银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,2881937.0000,180702.1550,96064.566666666667,0.5730,89432.0000,5106.2890,etf_basic,2026-06-03 21:44:08.972707+08
916,516900.SH,华安中证申万食品饮料ETF,食品饮料ETF华安,华安中证申万食品饮料交易型开放式指数证券投资基金,000807.CSI,中证申万食品饮料指数,2021-04-16,2021-04-28,L,SH,华安基金,中国建设银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,2880951.0000,151328.1560,96031.700000000000,0.5040,144290.0000,7235.2470,etf_basic,2026-06-03 21:44:08.972707+08
917,159215.SZ,平安中证A500ETF,A500ETF平安,平安中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,2025-03-26,2025-04-07,L,SZ,平安基金,中国农业银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,2877677.4900,393624.9493,95922.583000000000,1.3850,101261.0000,14076.6220,etf_basic,2026-06-03 21:44:08.972707+08
918,560290.SH,景顺长城中证有色金属矿业主题ETF,有色ETF景顺,景顺长城中证有色金属矿业主题交易型开放式指数证券投资基金,931892.CSI,中证有色金属矿业主题指数,2026-01-26,2026-02-06,L,SH,景顺长城基金,中信建投证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,2872199.0000,258497.4500,95739.966666666667,0.8740,87241.0000,7631.2340,etf_basic,2026-06-03 21:44:08.972707+08
919,561120.SH,富国中证全指家用电器ETF,家电ETF富国,富国中证全指家用电器交易型开放式指数证券投资基金,930697.CSI,中证全指家用电器指数,2022-01-25,2022-02-15,L,SH,富国基金,交通银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,2869544.0000,387657.5110,95651.466666666667,1.3230,127701.0000,16987.8200,etf_basic,2026-06-03 21:44:08.972707+08
920,159907.SZ,广发国证2000ETF,国证2000ETF广发,广发国证2000交易型开放式指数证券投资基金,399303.SZ,国证2000指数,2011-06-03,2011-08-10,L,SZ,广发基金,中国农业银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,2864710.0000,336553.7562,95490.333333333333,1.1470,74762.0000,8608.1957,etf_basic,2026-06-03 21:44:08.972707+08
921,159280.SZ,汇添富国证港股通互联网ETF,港股通互联网ETF汇添富,汇添富国证港股通互联网交易型开放式指数证券投资基金,987022.SZ,国证港股通互联网指数,2025-08-06,2025-08-18,L,SZ,汇添富基金,中国建设银行股份有限公司,0.400000,纯境内,30,2026-04-20,2026-06-03,2860172.0800,217499.2630,95339.069333333333,0.7630,159339.0000,12240.3153,etf_basic,2026-06-03 21:44:08.972707+08
922,589090.SH,鹏华科创板人工智能ETF,科创AIETF鹏华,鹏华上证科创板人工智能交易型开放式指数证券投资基金,950180.CSI,上证科创板人工智能指数,2025-08-13,2025-08-27,L,SH,鹏华基金,广发证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,2854633.0000,356487.5730,95154.433333333333,1.2390,77268.0000,9608.4370,etf_basic,2026-06-03 21:44:08.972707+08
