ts_code,phase,view,trend,volatility,metric,n_low,n_high,effect_high_minus_low,ci95_low,ci95_high,bootstrap_valid_fraction,p_approximate,holm_p
000300.SH,V2,amount,up,low,up_rate,35,169,0.16415891800507182,-0.06857406078009097,0.36571621697268253,1.0,0.13108689131086892,1.0
000300.SH,V2,amount,up,low,mean_abs_return,35,169,-0.0023699918118516867,-0.005622761858085752,0.0005932921355672543,1.0,0.13058694130586943,1.0
000300.SH,V2,amount,up,high,up_rate,59,62,0.010114816839803142,-0.1347582647645942,0.15488827703060462,1.0,0.8917108289171083,1.0
000300.SH,V2,amount,up,high,mean_abs_return,59,62,-0.0010221955474006856,-0.003947977407333512,0.001269036004287062,1.0,0.42275772422757724,1.0
000300.SH,V2,volume,down,low,up_rate,89,56,-0.1179775280898876,-0.27018235711193084,0.027766248368479744,1.0,0.11798820117988201,
000300.SH,V2,volume,down,low,mean_abs_return,89,56,0.0023695648895370233,-0.0012598220815062372,0.007311030140226212,1.0,0.25977402259774024,
000300.SH,V2,volume,down,high,up_rate,71,36,0.07550860719874797,-0.13936323649754506,0.2930689792663476,1.0,0.4881511848815118,
000300.SH,V2,volume,down,high,mean_abs_return,71,36,0.003189381959190456,-0.000416583184214762,0.00673157669043626,1.0,0.08249175082491751,
000300.SH,V2,volume,up,low,up_rate,47,159,0.15937374548374145,-0.002441273712282137,0.31592083289844486,1.0,0.04889511048895111,
000300.SH,V2,volume,up,low,mean_abs_return,47,159,-0.0006982748021222441,-0.002891957641867812,0.0018363444688291979,1.0,0.5600439956004399,
000300.SH,V2,volume,up,high,up_rate,71,58,-0.04783875667799903,-0.20835098870056498,0.10577160493827158,1.0,0.5425457454254574,
000300.SH,V2,volume,up,high,mean_abs_return,71,58,-0.00024818853272128016,-0.002903666271111204,0.001991712534555567,1.0,0.8439156084391561,
000905.SH,D,amount,down,low,up_rate,143,8,0.19143356643356646,-0.20578342206447797,0.5866884057971011,0.9998,0.36723672367236726,
000905.SH,D,amount,down,low,mean_abs_return,143,8,-0.0006960170747249972,-0.0067210643595735295,0.004886819847072318,0.9998,0.7971797179717972,
000905.SH,D,amount,down,high,up_rate,118,25,0.07694915254237294,-0.11161582590843351,0.24518710083760178,1.0,0.39246075392460755,
000905.SH,D,amount,down,high,mean_abs_return,118,25,-0.0024515772196252953,-0.00710949132769654,0.0017748446192292467,1.0,0.2765723427657234,
000905.SH,D,amount,up,low,up_rate,19,140,0.15751879699248128,-0.07991068464555195,0.3592158941650526,1.0,0.1633836616338366,
000905.SH,D,amount,up,low,mean_abs_return,19,140,-0.000996167700557547,-0.0072119491827859735,0.004133961528194671,1.0,0.7391260873912608,
000905.SH,D,amount,up,high,up_rate,33,140,0.031385281385281294,-0.11683492662838216,0.26282879670221787,1.0,0.76002399760024,
000905.SH,D,amount,up,high,mean_abs_return,33,140,-0.002565571771990481,-0.007491871536642505,0.00021576415541888332,1.0,0.19158084191580843,
000905.SH,D,volume,down,low,up_rate,136,19,0.2809597523219814,0.027949726801475738,0.5022067054433713,1.0,0.021997800219978002,
000905.SH,D,volume,down,low,mean_abs_return,136,19,-0.00025503587634186434,-0.004331920092200958,0.004268770555969363,1.0,0.9068093190680931,
000905.SH,D,volume,down,high,up_rate,117,31,0.11717673007995588,-0.06546153846153843,0.28195520395197105,1.0,0.18368163183681632,
000905.SH,D,volume,down,high,mean_abs_return,117,31,-0.0031047056700907304,-0.007034190694074273,0.0003635106046933599,1.0,0.10178982101789821,
000905.SH,D,volume,up,low,up_rate,22,131,0.2772380291464261,0.04954920090369012,0.46661125319693086,1.0,0.0115988401159884,
000905.SH,D,volume,up,low,mean_abs_return,22,131,-0.002519712224614428,-0.008812067049501004,0.002779983179584328,1.0,0.39316068393160686,
000905.SH,D,volume,up,high,up_rate,38,132,0.027113237639553422,-0.11972756844673348,0.2600676563012992,1.0,0.7946205379462054,
000905.SH,D,volume,up,high,mean_abs_return,38,132,-0.001082541450908357,-0.005157299554831645,0.0013294623111966026,1.0,0.5073492650734927,
000905.SH,V1,amount,down,low,up_rate,98,31,0.184002633311389,0.04097929847929851,0.3265864982970247,1.0,0.013898610138986101,1.0
000905.SH,V1,amount,down,low,mean_abs_return,98,31,-7.058709594306815e-05,-0.002806011179042985,0.0036860046625054412,1.0,0.9659034096590341,1.0
000905.SH,V1,amount,down,high,up_rate,93,19,0.13582342954159599,-0.13778262578616352,0.3570437919122129,1.0,0.26517348265173485,1.0
000905.SH,V1,amount,down,high,mean_abs_return,93,19,-0.007607149286279934,-0.017682526328194555,0.0043705122627491644,1.0,0.17748225177482252,1.0
000905.SH,V1,amount,up,low,up_rate,40,179,0.07276536312849158,-0.036815811324341446,0.25306234844967224,1.0,0.35826417358264173,1.0
000905.SH,V1,amount,up,low,mean_abs_return,40,179,-0.003434609265971675,-0.007975382326130476,-0.0004885663071195192,1.0,0.08589141085891411,1.0
000905.SH,V1,amount,up,high,up_rate,40,84,0.03214285714285714,-0.13961988304093564,0.2272938268627921,1.0,0.7253274672532747,1.0
000905.SH,V1,amount,up,high,mean_abs_return,40,84,-0.0055269088905900675,-0.011938906845127342,-0.0001682068427084459,1.0,0.06829317068293171,1.0
000905.SH,V1,volume,down,low,up_rate,111,34,0.12506624271330147,-0.038994772063724925,0.2739406565656565,1.0,0.11558844115588442,
