ts_code,phase,view,group,trend,volatility,activity,n,coverage,negative_days,mean_loss_on_negative_days,enough_samples,up_rate,up_rate_ci95_low,up_rate_ci95_high,up_rate_valid_fraction,mean_return,mean_return_ci95_low,mean_return_ci95_high,mean_return_valid_fraction,mean_abs_return,mean_abs_return_ci95_low,mean_abs_return_ci95_high,mean_abs_return_valid_fraction,mean_downside,mean_downside_ci95_low,mean_downside_ci95_high,mean_downside_valid_fraction
000001.SH,V2,amount,0,down,low,low,70,0.07446808510638298,31,0.009343421303620371,True,0.5571428571428572,0.43902439024390244,0.6666666666666666,1.0,-0.00020633648961613396,-0.003341885689341961,0.002506930771175431,1.0,0.008069265236447623,0.006124518609668965,0.010940809200249944,1.0,0.004137800863031879,0.002235852019900215,0.006870095561568621,1.0
000001.SH,V2,amount,1,down,low,high,60,0.06382978723404255,24,0.010237383497873972,True,0.6,0.5,0.7209302325581395,1.0,8.994932914154762e-05,-0.003685563540550936,0.0031091002026975615,1.0,0.008279856127440725,0.00620508989691758,0.011590129380364831,1.0,0.0040949533991495885,0.0018250408940868265,0.00749133044616099,1.0
000001.SH,V2,amount,2,down,high,low,62,0.06595744680851064,27,0.011782824117761083,True,0.5645161290322581,0.4375,0.7105263157894737,1.0,0.002495089150980843,-0.0006784639885602901,0.006234054466103011,1.0,0.012757548866450174,0.010646193543124783,0.015023593738474523,1.0,0.005131229857734666,0.0030456646781238396,0.006903338715395786,1.0
000001.SH,V2,amount,3,down,high,high,25,0.026595744680851064,6,0.015129094027328297,False,0.76,0.5789473684210527,0.8928571428571429,1.0,0.005215686772707353,-0.002484740092185782,0.010504419213842358,1.0,0.012477651905824935,0.008728214724893116,0.0159050936148611,1.0,0.0036309825665587912,0.000880510099111318,0.008258128964944284,1.0
000001.SH,V2,amount,4,up,low,low,24,0.02553191489361702,16,0.007841042741481875,False,0.3333333333333333,0.17647058823529413,0.6,1.0,-0.0016168132763976727,-0.006081059755862945,0.0044192435739833676,1.0,0.008837910378911495,0.006150140205926214,0.012589917386170544,1.0,0.005227361827654584,0.00257642876204725,0.00811411289100799,1.0
000001.SH,V2,amount,5,up,low,high,157,0.16702127659574467,70,0.006089102639438193,True,0.554140127388535,0.44171779141104295,0.632258064516129,1.0,0.0016618693166405717,-0.0005774569536198419,0.0037844589482272997,1.0,0.007091642370916667,0.0055971702295632714,0.008982242423379725,1.0,0.0027148865271380477,0.001928368966231147,0.0039018060722962136,1.0
000001.SH,V2,amount,6,up,high,low,32,0.03404255319148936,18,0.009942970437460766,False,0.4375,0.3076923076923077,0.5714285714285714,0.9999,-0.00204340917000842,-0.005220467470589506,0.0016219933736341308,0.9999,0.009142432572134943,0.0074479085789093055,0.01149996197780927,0.9999,0.005592920871071681,0.003948799699941432,0.007689404403274942,0.9999
000001.SH,V2,amount,7,up,high,high,55,0.05851063829787234,26,0.008652326271287565,True,0.5272727272727272,0.4117647058823529,0.617027843446283,1.0,0.0002070094549695887,-0.0016444884681505584,0.0018434564906717737,1.0,0.008387390656914196,0.00571457529660163,0.010641022499103633,1.0,0.004090190600972304,0.002519540005005012,0.005628161100027062,1.0
000001.SH,V2,volume,0,down,low,low,94,0.1,41,0.007441832479842417,True,0.5638297872340425,0.47058823529411764,0.6610169491525424,1.0,0.0009138156365788037,-0.0011196362350903509,0.0030354494880698215,1.0,0.0074056269487817634,0.006072027020740069,0.00929310128837333,1.0,0.00324590565610148,0.002119885303286725,0.004849159523183485,1.0
000001.SH,V2,volume,1,down,low,high,61,0.06489361702127659,29,0.011163596703261728,True,0.5245901639344263,0.40298507462686567,0.6461538461538462,1.0,-0.0012401174133631128,-0.005672257186034039,0.0020674126440564816,1.0,0.009374449943836563,0.007013153531856183,0.01315048297136982,1.0,0.005307283678599838,0.0026788213809622132,0.00931022064857973,1.0
